customerID,tenure_group,charge_tier,MonthlyCharges,TotalCharges,tenure,Contract,PaymentMethod,churn_label
1095-WGNGG,loyal,high,101.05,5971.25,61,Two year,Bank transfer (automatic),0
2636-SJDOU,loyal,high,84.3,5289.05,64,One year,Credit card (automatic),0
1131-QQZEB,loyal,low,23.95,1756.2,71,Two year,Bank transfer (automatic),0
5716-EZXZN,loyal,high,99.05,6416.7,65,Two year,Credit card (automatic),0
6837-BJYDQ,new,low,19.6,61.35,3,One year,Mailed check,0
2135-RXIHG,new,medium,45.65,45.65,1,Month-to-month,Electronic check,1
6440-DKQGE,mid,medium,64.5,1929.95,30,One year,Credit card (automatic),0
3466-BYAVD,mid,high,69.5,1071.4,15,Month-to-month,Mailed check,0
3780-YVMFA,new,high,68.55,564.35,8,Month-to-month,Electronic check,0
3874-EQOEP,new,high,95.0,655.5,7,Month-to-month,Mailed check,1
1679-JRFBR,loyal,high,108.15,7930.55,70,One year,Credit card (automatic),0
9073-ZZIAY,loyal,high,86.1,5215.25,62,Two year,Electronic check,0
3077-RSNTJ,new,low,19.7,113.5,6,Month-to-month,Mailed check,0
6551-GNYDG,mid,high,80.9,1152.8,14,Month-to-month,Bank transfer (automatic),0
9167-APMXZ,mid,high,84.15,1821.95,22,Month-to-month,Bank transfer (automatic),0
2749-CTKAJ,mid,low,20.15,419.9,22,One year,Mailed check,0
6371-NZYEG,mid,medium,64.25,1024.0,16,Two year,Mailed check,0
7554-NEWDD,new,low,25.7,251.6,10,Two year,Bank transfer (automatic),0
8992-VONJD,mid,medium,56.0,764.55,13,Month-to-month,Electronic check,0
0867-MKZVY,mid,high,82.4,1592.35,20,Month-to-month,Electronic check,1
4482-EWFMI,new,high,69.7,135.2,2,Month-to-month,Electronic check,0
4648-YPBTM,loyal,high,73.9,3958.25,53,Two year,Bank transfer (automatic),0
2907-ILJBN,new,low,20.6,233.9,11,One year,Mailed check,0
6345-FZOQH,loyal,low,19.9,1363.45,69,Two year,Mailed check,0
3376-BMGFE,new,high,70.9,273.0,4,Month-to-month,Bank transfer (automatic),1
5997-OPVFA,loyal,high,89.05,6254.45,72,Two year,Bank transfer (automatic),0
3445-HXXGF,loyal,medium,45.3,2651.2,58,Month-to-month,Electronic check,1
1159-WFSGR,mid,low,20.4,321.4,16,Month-to-month,Electronic check,0
7654-YWJUF,loyal,high,84.25,3539.25,43,One year,Bank transfer (automatic),0
1875-QIVME,new,high,104.4,242.8,2,Month-to-month,Electronic check,1
6727-IOTLZ,mid,high,81.95,1181.75,14,Two year,Mailed check,0
0691-JVSYA,loyal,high,94.85,5000.2,53,One year,Bank transfer (automatic),1
5918-VUKWP,mid,low,20.55,654.55,32,One year,Bank transfer (automatic),0
1744-JHKYS,mid,low,24.7,780.2,34,Month-to-month,Electronic check,0
2656-FMOKZ,mid,high,74.45,1145.7,15,Month-to-month,Mailed check,1
2070-FNEXE,new,high,76.45,503.6,7,Month-to-month,Bank transfer (automatic),1
5947-SGKCL,mid,high,105.35,1559.25,15,Month-to-month,Bank transfer (automatic),0
3712-PKXZA,loyal,low,20.55,1252.0,61,One year,Credit card (automatic),0
6317-YPKDH,new,low,29.95,29.95,1,Month-to-month,Bank transfer (automatic),1
6582-OIVSP,new,medium,45.3,45.3,1,Month-to-month,Mailed check,0
9367-WXLCH,new,high,84.5,662.65,8,Month-to-month,Bank transfer (automatic),1
5524-KHNJP,mid,high,74.75,2453.3,33,One year,Credit card (automatic),0
1918-ZBFQJ,mid,high,79.25,1111.65,13,Month-to-month,Electronic check,1
1024-GUALD,new,low,24.8,24.8,1,Month-to-month,Electronic check,1
4827-USJHP,mid,medium,51.8,1023.85,20,Month-to-month,Mailed check,0
8167-GJLRN,new,low,30.4,82.15,3,Month-to-month,Electronic check,0
0956-SYCWG,mid,low,19.65,244.8,13,One year,Electronic check,0
8017-UVSZU,loyal,medium,56.6,2379.1,40,Month-to-month,Credit card (automatic),0
7100-FQPRV,loyal,high,71.9,3173.35,43,One year,Credit card (automatic),0
2472-OVKUP,new,high,91.0,531.0,6,Month-to-month,Electronic check,1
2984-RGEYA,loyal,low,19.75,1375.4,69,Two year,Bank transfer (automatic),0
9680-NIAUV,loyal,high,109.7,8129.3,72,Two year,Credit card (automatic),0
2146-EGVDT,loyal,low,19.3,1192.7,59,Two year,Credit card (automatic),0
2604-IJPDU,mid,high,96.55,1901.65,20,Month-to-month,Electronic check,0
9178-JHUVJ,mid,low,24.1,587.4,24,Two year,Bank transfer (automatic),0
6168-YBYNP,loyal,high,111.35,6519.75,59,Month-to-month,Electronic check,0
7255-SSFBC,loyal,high,112.25,8041.65,72,Two year,Bank transfer (automatic),0
3645-DEYGF,new,low,20.75,20.75,1,Month-to-month,Mailed check,0
9323-HGFWY,mid,high,101.9,2681.15,27,One year,Credit card (automatic),0
8544-GOQSH,mid,high,80.05,1112.3,14,Month-to-month,Credit card (automatic),0
3363-DTIVD,loyal,high,105.55,7405.5,71,Two year,Electronic check,0
7018-WBJNK,mid,high,78.3,1033.95,13,Month-to-month,Credit card (automatic),0
9142-KZXOP,loyal,high,68.85,2958.95,44,Month-to-month,Credit card (automatic),0
7674-YTAFD,mid,high,79.95,2684.85,33,One year,Bank transfer (automatic),0
6348-SNFUS,loyal,medium,55.45,4179.2,72,Two year,Credit card (automatic),0
1285-OKIPP,new,high,79.9,79.9,1,Month-to-month,Electronic check,1
7825-ECJRF,mid,high,106.6,1934.45,19,Month-to-month,Electronic check,1
1347-KTTTA,loyal,high,102.45,6654.1,64,One year,Credit card (automatic),0
7841-TZDMQ,new,medium,46.0,84.5,2,Month-to-month,Credit card (automatic),1
4195-NZGTA,new,low,25.25,25.25,1,Month-to-month,Electronic check,0
7157-SMCFK,loyal,low,19.75,1124.2,61,Two year,Mailed check,0
4709-LKHYG,mid,low,20.0,540.05,29,One year,Electronic check,0
2504-DSHIH,mid,high,86.8,1975.85,23,Month-to-month,Electronic check,0
0699-NDKJM,loyal,medium,58.75,3437.45,57,Month-to-month,Bank transfer (automatic),0
9286-BHDQG,loyal,medium,45.25,3139.8,72,Two year,Credit card (automatic),0
0230-WEQUW,loyal,medium,56.6,3789.2,66,Two year,Bank transfer (automatic),0
2040-LDIWQ,loyal,high,84.2,5324.5,65,Two year,Bank transfer (automatic),0
6496-JDSSB,new,high,80.0,624.6,8,Month-to-month,Bank transfer (automatic),0
9408-SSNVZ,new,high,70.15,268.35,4,Month-to-month,Electronic check,1
4443-EMBNA,loyal,low,24.75,1836.9,71,Two year,Bank transfer (automatic),0
6469-MRVET,new,low,20.2,20.2,1,One year,Electronic check,0
0742-MOABM,new,medium,50.05,179.35,4,Month-to-month,Mailed check,1
5961-VUSRV,new,low,19.35,219.35,12,One year,Bank transfer (automatic),0
6778-JFCMK,mid,medium,50.6,1288.75,24,One year,Mailed check,0
6341-JVQGF,mid,high,81.15,2545.75,31,One year,Mailed check,0
2232-DMLXU,new,medium,55.2,55.2,1,Month-to-month,Mailed check,1
4811-JBUVU,mid,high,89.9,2723.15,30,Month-to-month,Credit card (automatic),0
0945-TSONX,loyal,high,85.3,4107.25,47,Two year,Credit card (automatic),0
2651-ZCBXV,loyal,high,108.0,5760.65,54,Two year,Credit card (automatic),0
3316-UWXUY,loyal,high,93.5,4747.5,50,Month-to-month,Credit card (automatic),0
8937-RDTHP,new,high,84.6,84.6,1,Month-to-month,Mailed check,1
7083-MIOPC,loyal,low,20.25,1566.9,72,Two year,Credit card (automatic),0
1984-GPTEH,mid,low,25.15,702.0,29,Month-to-month,Electronic check,0
1251-KRREG,new,medium,54.4,114.1,2,Month-to-month,Mailed check,1
0621-JFHOL,new,low,29.6,299.05,10,Two year,Mailed check,0
9903-LYSAB,mid,high,73.15,1305.95,18,Month-to-month,Electronic check,0
0094-OIFMO,new,high,95.0,1120.3,11,Month-to-month,Electronic check,1
9227-UAQFT,mid,low,19.75,284.35,16,Two year,Mailed check,0
7301-ABVAD,loyal,high,86.6,6350.5,72,Two year,Bank transfer (automatic),0
6614-FHDBO,loyal,high,109.2,7878.3,72,Two year,Bank transfer (automatic),0
7576-ASEJU,loyal,high,74.7,3187.65,41,One year,Credit card (automatic),0
9058-HRZSV,loyal,high,94.4,6126.15,65,Month-to-month,Electronic check,0
4522-AKYLR,mid,medium,54.8,731.3,13,Month-to-month,Electronic check,0
0221-WMXNQ,new,high,75.35,273.4,4,Month-to-month,Electronic check,0
0303-UNCIP,loyal,high,65.0,2531.8,41,One year,Mailed check,0
9947-OTFQU,mid,high,74.4,1074.3,15,Month-to-month,Electronic check,1
0322-YINQP,new,medium,48.55,48.55,1,Month-to-month,Mailed check,1
0959-WHOKV,loyal,high,99.0,4298.45,42,One year,Electronic check,0
4075-JFPGR,loyal,high,93.5,4619.55,51,One year,Electronic check,0
4629-NRXKX,new,high,70.4,147.15,2,Month-to-month,Electronic check,1
9514-JDSKI,new,medium,40.2,40.2,1,Month-to-month,Electronic check,1
3282-ZISZV,mid,high,83.7,2633.3,32,One year,Credit card (automatic),0
3675-YDUPJ,new,low,19.85,193.05,10,Month-to-month,Mailed check,0
4111-BNXIF,loyal,medium,59.55,4103.9,67,Two year,Electronic check,0
7017-VFHAY,loyal,high,115.1,7008.15,61,Two year,Credit card (automatic),0
6655-LHBYW,loyal,high,114.35,5791.1,50,One year,Credit card (automatic),0
4959-JOSRX,new,medium,44.6,80.55,2,Month-to-month,Credit card (automatic),1
5046-NUHWD,mid,medium,45.0,1228.65,29,Month-to-month,Electronic check,0
7273-TEFQD,new,medium,41.15,132.2,3,Month-to-month,Electronic check,1
3606-TWKGI,mid,high,106.9,1364.3,13,Month-to-month,Electronic check,1
7529-ZDFXI,loyal,high,89.85,4925.35,57,Month-to-month,Electronic check,0
7605-BDWDC,mid,medium,49.85,1520.1,31,Two year,Bank transfer (automatic),0
1950-KSVVJ,loyal,high,113.3,5032.25,45,One year,Mailed check,0
0123-CRBRT,loyal,high,88.1,5526.75,61,Two year,Mailed check,0
6292-TOSSS,loyal,low,24.9,1195.25,50,Two year,Bank transfer (automatic),0
3197-ARFOY,mid,high,105.0,2007.25,19,Month-to-month,Mailed check,0
6323-AYBRX,loyal,low,19.35,1099.6,59,Two year,Mailed check,1
7014-ZZXAW,loyal,low,24.25,1732.95,71,Two year,Credit card (automatic),0
4385-GZQXV,mid,high,94.45,1511.2,16,Month-to-month,Electronic check,1
7633-MVPUY,loyal,medium,59.75,3450.15,57,Two year,Electronic check,0
6366-ZGQGL,new,low,24.8,24.8,1,Month-to-month,Bank transfer (automatic),1
4716-HHKQH,mid,high,107.05,2172.05,20,Month-to-month,Electronic check,0
5940-AHUHD,new,high,70.6,70.6,1,Month-to-month,Mailed check,1
6432-TWQLB,new,high,85.4,401.1,5,Month-to-month,Electronic check,1
4484-GLZOU,loyal,high,105.05,5624.85,52,Month-to-month,Electronic check,1
3179-GBRWV,mid,medium,64.95,1339.8,21,Month-to-month,Bank transfer (automatic),0
8645-KWHJO,mid,medium,55.0,771.95,14,Month-to-month,Electronic check,0
4130-MZLCC,new,medium,50.55,244.75,5,Month-to-month,Bank transfer (automatic),0
0314-TKOSI,new,medium,55.15,322.9,6,Month-to-month,Mailed check,0
8229-MYEJZ,new,medium,51.2,498.25,10,Month-to-month,Electronic check,0
2080-SRCDE,new,low,25.4,25.4,1,Month-to-month,Mailed check,0
9577-WJVCQ,loyal,medium,54.45,3687.75,68,Month-to-month,Mailed check,0
9512-UIBFX,mid,high,95.15,1779.95,18,Month-to-month,Mailed check,1
6202-DYYFX,mid,high,76.0,1783.6,22,One year,Credit card (automatic),0
3808-HFKDE,mid,medium,44.35,927.15,20,Month-to-month,Electronic check,0
5583-SXDAG,new,high,70.0,70.0,1,Month-to-month,Electronic check,1
3488-PGMQJ,new,high,74.5,606.55,8,Month-to-month,Electronic check,1
3580-REOAC,new,medium,44.85,435.4,10,Month-to-month,Credit card (automatic),1
7534-BFESC,mid,high,76.1,1712.7,24,Month-to-month,Electronic check,1
3727-OWVYD,mid,medium,61.2,2021.2,35,One year,Mailed check,0
2294-SALNE,mid,high,86.8,1940.8,23,One year,Mailed check,0
4847-TAJYI,new,high,89.35,567.8,6,Month-to-month,Electronic check,0
1563-IWQEX,new,low,19.7,220.35,12,Month-to-month,Mailed check,0
8203-XJZRC,new,low,20.25,20.25,1,Month-to-month,Mailed check,0
6556-DBKZF,loyal,high,76.05,5436.45,71,Two year,Electronic check,0
6851-WEFYX,mid,high,100.8,3437.5,35,Month-to-month,Electronic check,0
2985-JUUBZ,loyal,high,74.55,3015.75,40,Month-to-month,Electronic check,0
6390-DSAZX,new,high,73.6,73.6,1,Month-to-month,Mailed check,1
0895-LMRSF,mid,medium,64.9,1509.8,23,One year,Bank transfer (automatic),0
8098-LLAZX,new,high,95.45,396.1,4,Month-to-month,Electronic check,1
8266-VBFQL,new,high,90.4,356.65,4,Month-to-month,Electronic check,0
8181-YHCMF,loyal,medium,60.3,4109.0,68,Two year,Credit card (automatic),0
2240-HSJQD,loyal,high,81.85,3141.7,38,Month-to-month,Mailed check,0
1248-DYXUB,loyal,low,24.8,1229.1,52,Two year,Mailed check,0
0265-EDXBD,mid,high,74.9,2303.35,32,Month-to-month,Electronic check,1
4115-BNPJY,mid,high,75.55,2054.4,29,Two year,Mailed check,0
3167-SNQPL,loyal,high,101.15,3741.85,38,Month-to-month,Electronic check,0
4091-TVOCN,loyal,high,78.75,3682.45,48,One year,Credit card (automatic),0
1098-TDVUQ,new,low,19.25,19.25,1,Month-to-month,Bank transfer (automatic),0
7277-OZCGZ,mid,high,89.05,1886.25,22,Month-to-month,Electronic check,0
1557-EMYVT,loyal,high,115.05,4895.1,43,Two year,Credit card (automatic),0
2799-ARNLO,new,high,69.35,341.6,5,Month-to-month,Electronic check,0
7563-BIUPC,new,high,80.6,415.55,5,Month-to-month,Electronic check,1
5027-YOCXN,loyal,high,110.05,5686.4,51,One year,Credit card (automatic),0
3973-SKMLN,loyal,low,19.9,1355.1,71,Two year,Credit card (automatic),0
2321-OMBXY,loyal,high,80.3,3058.65,38,One year,Credit card (automatic),1
2840-XANRC,mid,high,93.15,2231.05,24,Month-to-month,Electronic check,1
6745-JEFZB,mid,high,91.5,3236.35,35,Month-to-month,Credit card (automatic),0
5020-ZSTTY,loyal,high,82.45,4350.1,54,One year,Bank transfer (automatic),1
9880-TDQAC,loyal,medium,60.0,4264.0,72,Two year,Electronic check,0
8705-WZCYL,new,medium,44.8,44.8,1,Month-to-month,Electronic check,0
7102-JJVTX,new,medium,48.6,422.3,9,One year,Mailed check,0
8626-PTQGE,loyal,medium,60.05,4176.7,69,Two year,Bank transfer (automatic),0
4983-CLMLV,loyal,high,102.7,5138.1,52,Month-to-month,Credit card (automatic),0
5701-YVSVF,new,high,82.9,880.05,11,Month-to-month,Electronic check,0
5804-LEPIM,new,high,70.35,139.05,2,Month-to-month,Electronic check,1
5697-GOMBF,mid,medium,35.9,973.65,28,Month-to-month,Electronic check,0
2739-CACDQ,mid,high,82.65,1470.05,17,Month-to-month,Credit card (automatic),0
9385-EHGDO,mid,low,19.85,739.35,35,Two year,Mailed check,0
9498-FIMXL,new,low,19.2,161.95,8,One year,Mailed check,0
2379-GYFLQ,loyal,high,94.9,4422.95,46,One year,Credit card (automatic),0
0122-OAHPZ,new,high,73.85,511.25,7,Month-to-month,Electronic check,1
2868-SNELZ,new,high,80.6,155.8,2,Month-to-month,Mailed check,1
4322-RCYMT,loyal,high,75.8,5293.95,68,One year,Bank transfer (automatic),1
6680-NENYN,loyal,high,104.6,4759.85,43,Two year,Electronic check,1
2088-IEBAU,loyal,high,88.15,6148.45,68,Two year,Electronic check,0
7982-VCELR,mid,high,94.8,3565.65,36,Month-to-month,Credit card (automatic),0
1343-EHPYB,loyal,high,103.4,6603.0,63,Month-to-month,Electronic check,1
6035-BXTTY,mid,medium,54.65,1830.1,32,Month-to-month,Bank transfer (automatic),0
6885-PKOAM,loyal,high,85.75,6223.8,71,Two year,Credit card (automatic),0
7520-HQWJU,loyal,high,67.45,4508.65,66,Month-to-month,Bank transfer (automatic),0
9639-BUJXT,loyal,low,20.5,1328.15,63,One year,Mailed check,0
5924-SNGKP,loyal,low,20.25,865.0,41,One year,Credit card (automatic),0
0021-IKXGC,new,high,72.1,72.1,1,Month-to-month,Electronic check,0
